sample ID,locality,country,Collection date,eventDate,Number and gender,individualCount,Family,Genus,species,scientific name,Z,decimalLatitude,decimalLongitude,Troglomorphy,habitat,joint coordinates
154,Jama na vrh Prodoli,Croatia,4.11.2008.,2008-11-04,1 m,1,Leptonetidae,Barusia,maheni,Barusia maheni,,42.720837,18.021231,tf,deep cave,#N/A
156,Debela ljut,Croatia,31.10.2008.,2008-10-31,"1m, 1 juv",2,Leptonetidae,Barusia,maheni,Barusia maheni,,42.717699,18.022036,tf,deep cave,#N/A
160,Pećina u Gaju,Croatia,1.11.2008.,2008-11-01,1 juv,1,Agelenidae,Histopona,sp.,Histopona sp.,,42.704486,18.08282,,deep cave,#N/A
161,Pećina u Gaju,Croatia,1.11.2008.,2008-11-01,"1m, 1juv f",2,Leptonetidae,Sulcia,sp. 14,Sulcia sp. 14,,42.704486,18.08282,,,#N/A
162,Špijaturica,Croatia,5.11.2008.,2008-11-05,"1m, 1f",2,Leptonetidae,Barusia,maheni,Barusia maheni,340,42.835204,17.806752,tf,deep cave,#N/A
169,Vilina špilja-Izvor Omble,Croatia,1.11.2008.,2008-11-01,1f,1,Agelenidae,Histopona,dubia,Histopona dubia,137,42.67716,18.136236,tb,deep cave,#N/A
170,Vilinska špilja,Croatia,4.11.2008.,2008-11-04,1f,1,Linyphiidae,Troglohyphantes,salax,Troglohyphantes salax,,42.797852,17.922663,tb,deep cave,#N/A
171,Jama na vrh Vrguda,Croatia,2.11.2008.,2008-11-02,1 m,1,Leptonetidae,Barusia,maheni,Barusia maheni,523,42.726207,18.039158,tf,deep cave,#N/A
173,Jama na vrh Vrguda,Croatia,2.11.2008.,2008-11-02,1 juv m,1,Agelenidae,Histopona,dubia,Histopona dubia,523,42.726207,18.039158,tb,deep cave,#N/A
174,Špijaturica,Croatia,5.11.2008.,2008-11-05,"5m, 2f",7,Leptonetidae,Barusia,maheni,Barusia maheni,,42.835204,17.806752,tf,deep cave,#N/A
175,Vilina špilja-Izvor Omble,Croatia,1.11.2008.,2008-11-01,1 juv ,1,Agelenidae,Histopona,sp.,Histopona sp.,137,42.67716,18.136236,,deep cave,#N/A
176,Vilina špilja-Izvor Omble,Croatia,1.11.2008.,2008-11-01,"2m, 1f, 3 juv",6,Leptonetidae,Sulcia,sp. 2,Sulcia sp. 2,137,42.67716,18.136236,Tb,deep cave,#N/A
180,Jama Zadubravica,Croatia,3.11.2008.,2008-11-03,1f,1,Agelenidae,Histopona,conveniens,Histopona conveniens,,42.771666,17.936425,Tf,deep cave,#N/A
181,Aragonka,Croatia,26.3.2008.,2008-03-26,1 juv,1,Agelenidae,Histopona,sp.,Histopona sp.,306,42.713284,18.019397,,deep cave,#N/A
182,Aragonka,Croatia,26.3.2008.,2008-03-26,1 f,1,Agelenidae,Histopona,dubia,Histopona dubia,306,42.713284,18.019397,tb,deep cave,#N/A
183,Jama u Zabirađu,Croatia,30.3.2008.,2008-03-30,"1m, 2 juv",3,Dysderidae,Dysdera,sp. 1,Dysdera sp. 1,,42.732667,18.049328,,,#N/A
184,Krivača špilja,Croatia,31.3.2008.,2008-03-31,1f,1,Dysderidae,Stalagtia,hercegovinensis,Stalagtia hercegovinensis,,42.730217,18.067602,Tb,deep cave,#N/A
185,Jama u Zabirađu,Croatia,30.3.2008.,2008-03-30,1m,1,Dysderidae,Stalagtia,sp. 5,Stalagtia sp. 5,,42.732667,18.049328,Tb,deep cave,#N/A
186,Jama na vrh Vrguda,Croatia,2.11.2008.,2008-11-02,1 f,1,Agelenidae,Tegenaria,annulata,Tegenaria annulata,523,42.726207,18.039158,tf,deep cave,#N/A
187,Jama na vrh Vrguda,Croatia,2.11.2008.,2008-11-02,"1m, 2 juv",3,Dysderidae,Stalagtia,sp. 5,Stalagtia sp. 5,523,42.726207,18.039158,Tb,deep cave,#N/A
188,Jama na vrh Vrguda,Croatia,2.11.2008.,2008-11-02,1f,1,Linyphiidae,Troglohyphantes,affinis,Troglohyphantes affinis,523,42.726207,18.039158,tb,deep cave,#N/A
189,Krivača špilja,Croatia,31.3.2008.,2008-03-31,1f,1,Dysderidae,Stalagtia,hercegovinensis,Stalagtia hercegovinensis,,42.730217,18.067602,Tb,deep cave,#N/A
190,Jama u Zabirađu,Croatia,2.11.2008.,2008-11-02,2f,2,Dysderidae,Stalagtia,sp. 5,Stalagtia sp. 5,,42.732667,18.049328,Tb,deep cave,#N/A
191,Jama Zadubravica,Croatia,3.11.2008.,2008-11-03,1f,1,Dysderidae,Stalagtia,hercegovinensis,Stalagtia hercegovinensis,,42.771666,17.936425,Tb,deep cave,#N/A
192,Vilina špilja-Izvor Omble,Croatia,1.11.2008.,2008-11-01,1f,1,Dysderidae,Stalagtia,sp. 2,Stalagtia sp. 2,137,42.67716,18.136236,Tb,deep cave,#N/A
193,Aragonka,Croatia,26.3.2008.,2008-03-26,"1f, 1 juv",2,Dysderidae,Stalagtia,sp. 5,Stalagtia sp. 5,306,42.713284,18.019397,Tb,deep cave,#N/A
194,Špilja na vrh Toraca,Croatia,26.3.2008.,2008-03-26,1f,1,Dysderidae,Stalagtia,sp. 5,Stalagtia sp. 5,,42.705575,18.03049,Tb,deep cave,#N/A
195,Špijaturica,Croatia,5.11.2008.,2008-11-05,1 juv,1,Dysderidae,Stalagtia,hercegovinensis,Stalagtia hercegovinensis,,42.835204,17.806752,Tb,deep cave,#N/A
196,Jama uz stazu na Sv. Nikoli,Croatia,28.3.2008.,2008-03-28,2 juv,2,Dysderidae,Stalagtia,sp. 5,Stalagtia sp. 5,,42.700426,18.028022,Tb,deep cave,#N/A
197,Vilina špilja-Izvor Omble,Croatia,1.11.2008.,2008-11-01,1 juv,1,Dysderidae,Stalagtia,sp. 2,Stalagtia sp. 2,137,42.67716,18.136236,Tb,deep cave,#N/A
198,Vilinska špilja,Croatia,4.11.2008.,2008-11-04,2 juv,2,Dysderidae,Stalagtia,hercegovinensis,Stalagtia hercegovinensis,,42.797852,17.922663,Tb,deep cave,#N/A
199,Rudina,Croatia,27.3.2008.,2008-03-27,1 juv,1,Dysderidae,Stalagtia,hercegovinensis,Stalagtia hercegovinensis,,42.721999,18.015321,Tb,deep cave,#N/A
200,Jama na vrh Vrguda,Croatia,2.11.2008.,2008-11-02,1 juv,1,Dysderidae,Harpactea,sp.,Harpactea sp.,523,42.726207,18.039158,,,#N/A
201,Jama Zadubravica,Croatia,31.3.2008.,2008-03-31,3 juv,3,Dysderidae,Stalagtia,hercegovinensis,Stalagtia hercegovinensis,,42.771666,17.936425,Tb,deep cave,#N/A
