locality,Main entrance width (Dimenzije glavnog ulaza (širina)),Main entrance hught (Dimenzije glavnog ulaza (visina)),Number of entrances (Broj ulaza),Cave length (Duljina (m)),Horizontal cave length (Horizontalna duljina (m)),Cave depth (Dubina (m))
Vicka,"1,5","0,5",1,351,144,157
Pavlova jama,"1,8",1,1,"20,4","8,1","14,1"
Polupećina Scalla-Poropat,21,13,1,,"18,5",0
Mala Birnjača,"0,5","0,6",1,"13,7","7,5","11,3"
Štojsova jama 2,"1,3","0,8",1,7,3,5
Jama pod Kamenitim vratima,3,15,1,,312,499
Jama na Kamenoj,"2,5",2,1,122,52,58
Čekina jama,"1,4","0,8",1,10,3,10
Samograd,6,4,1,"345,8","320,1","52,7"
Golubnica u Jajnim vrsima,10,7,1,60,48,31
Sedrena špilja s jamskim ulazom,1,"0,5",1,23,18,6
Jama pod Umcom,5,7,1,25,14,18
Jama pod Gradinovcem,"1,2","1,8",1,"5,3","1,1","5,2"
Jama kriva kapa,"1,7","1,8",1,,32,16
Golublja jama,5,3,1,50,32,20
Jama pod slapom,13,5,1,"71,4","42,7",37
Izvor špilja Bijeli bunar,"0,5","0,5",1,,24,0
Zaziđana pećina,"2,5",15,1,17,10,0
Izvor ispod elektrane kod Skradinskog buka,,,1,,,
Borovnik,1,"0,5",1,16,8,8
Ledenica u Tijesnom kod Vrata,"5,5",3,1,"34,6","24,4","21,1"
Brkina jama,5,5,1,74,31,60
Jama Kunelići,"2,5","4,5",1,,"3,5","8,5"
Točak,,,1,,,
Pećina Židna hižica 3,"1,6",2,1,,12,6
Kikiriki promašaj,2,2,1,,4,"25,5"
Golubnjača,,,1,,,
Kaverna u Pučišćima,"1,5",3,1,,8,5
"Kaverna na gradilištu sportske dvorane, Zamet, Rijeka","1,5",1,1,,5,"10,5"
Špilja Vranetić,6,5,1,26,"22,5",12
Mariščica,"1,5",1,1,58,58,7
Pećina Lazinina,1,"1,5",1,15,14,1
Grapčeva špilja,,,1,,,
Špilja iznad velikog Bresta,1,"0,7",1,,"56,6","7,8"
Špilja kod Velikog Šušnjara,8,"1,4",1,564,489,23
Boškova pećina,3,5,1,22,22,0
Jama kod Letiši,3,"2,5",1,105,8,104
Pećina Gornji brijeg,"5,5","2,2",1,,65,0
33 svjećice na Crnopcu,5,10,1,25,11,18
Špilja u uvali za dvoje_desna,3,3,1,6,6,0
Antoninina jama,"0,6","1,7",1,"57,1","42,2",27
Bezdanka u Starim ogradama,12,5,1,,60,40
MMJ-1,"4,5",1,1,14,7,11
Jama u Budovoj ogradi,1,4,1,22,16,18
Jama kobasica,3,"1,5",1,,"8,5","7,6"
Spilja kod starog mlina na Kamenici,"4,5",4,1,,12,0
Jama iznad Čatrnje,"1,6","0,6",1,7,"4,5",6
Provala,2,2,1,2161,1862,55
Cokeljine livade,4,"2,5",1,17,12,12
Špilja na Komu,2,"3,5",1,15,"14,5","1,5"
Jama na Vršičku,2,1,1,,12,18
Vranjača na Porobljeniku,5,5,1,55,17,41
Židovske kuće,7,5,1,,31,8
Jama u Zubu Buljme,"0,4",2,1,,205,139
Ekumenska grohotnica,10,4,1,19,12,18
Šatorinska puhalica,2,"6,16",1,40,60,32
Velika pećina u gredi,3,3,1,12,11,5
Stražari 3,7,2,1,,15,5
Bezdan,"0,5","0,3",1,,12,22
testicaa,34,45,2,,,
Ponor na Čačića dolcu,"3,5",2,1,,23,21
Sveta Lucija,8,2,1,47,30,21
Lovozakupnikova jama,"1,5","13,5",1,"27,7","14,7",15
Visoka špilja,1,3,1,"12,8","9,5","0,8"
Francuz,2,1,1,7,"5,5",6
Rupe 1,5,4,1,,22,9
Ponor Matice glavni,"1,5",1,1,6,5,5
Špilja kod Jurinog žljeba 2,2,"1,5",1,6,5,3
Senilna jama,20,4,2,289,63,150
Jama ispod Samogradića,5,2,1,,24,21
Pelima jama,7,5,1,24,15,11
Analogni disto,"0,5","0,5",1,"7,3","4,4","5,8"
Portret špilja,5,7,1,"11,2","11,2",0
Jama kod potoka Banine 5,3,2,1,,7,19
Pećina,2,1,1,21,21,1
Jama s otpadom,4,1,1,,7,20
Zečica,1,4,1,47,20,38
Česta jama,1,1,1,34,22,21
Pećina Podgrad,4,5,1,,44,0
Druga vilina,9,5,1,18,15,0
Lindina špilja ,4,"6,5",1,"42,6",26,"21,5"
Vinjiševička špiljica,"2,3","0,8",1,8,8,1
Odesina šparugara,1,1,1,14,13,9
Jama pod Travnik,4,2,1,29,29,15
Jama u Špejarovim lugovima 1,9,7,1,33,16,28
Divokozina snježnica,35,10,1,,113,125
Šarića pećine II,19,4,1,75,69,20
Čuvarica,8,2,1,18,10,11
Neviđena,10,"6,5",1,42,"9,2",38
Jama pored Jame bez smeća,7,5,1,19,11,15
Šmrčevka,1,1,1,"5,5","5,5",
Brabonjci svibanjski,2,"1,5",1,22,21,4
Prva nakon 5,"1,8",5,1,27,15,"19,8"
Zečja jama 1,2,2,1,20,"18,5",6
Drenovača,"10,5","2,5",1,88,25,65
Mali Gubavci,2,4,1,33,20,23
Jama na rtu Lenga,1,"1,8",1,,"8,5",22
Jama na Lučici,1,"0,5",1,16,10,8
"SG 8,24",1,"0,5",1,,"7,5",7
Špilja pod Turskom kulom,3,2,1,64,62,2
Isplativa,"7,2","5,3",1,14,9,11
Duša,3,10,1,317,290,130
Visi babina jama,6,"6,9",1,18,"6,7","16,5"
Podgračišće II,,,1,,,
Mala pod vidikovcem,"0,4","0,2",1,"8,1","2,2","1,8"
Snježnica 19,7,3,1,21,9,12
Prvi kontakt,4,3,1,"89,5","46,5","64,5"
Špilja iznad Kesića,"0,65","0,55",1,19,19,8
Kontjakt,"7,6","1,5",1,25,10,15
Jama pod Jelen vrhom,1,1,1,,8,"12,5"
Jama u koritu Lemeš,"0,5",1,1,36,8,29
Kaverna uz cestu kod Pupnatske luke ,"0,5",1,1,13,"4,5",12
Titova špilja,"2,5",3,1,9,9,0
Jama Stvari,1,2,1,"6,1","1,9","5,7"
Ponor Ićo,3,2,1,"29,2","27,3","9,8"
Velika špilja kod Neorića,2,"2,1",1,19,19,0
Bubeš 1,"1,7","0,8",1,6,"4,7",5
Pećina nad Polje,"1,3",5,1,9,7,4
Jančikin guz,"1,5","1,5",1,,"12,5","1,9"
Brža jama,,,1,"16,5","11,4","10,4"
Jama pod Smoljana glavicom,"0,4","0,6",1,7,6,5
Zokača,"1,5",1,1,16,14,6
Patnje mlade postavljačice,2,"2,5",1,"53,57",8,"53,57"
Velika Kusača,1,2,1,"65,3",63,1
Jama kod crkve Sv Nikole,13,8,1,34,30,17
Brgudac IV,5,2,1,16,14,6
Tomin taban,9,"1,6",1,42,22,30
Špilja kod Vilišnice,"3,5","1,5",1,,37,"20,3"
Jama Babinica,"5,5",5,1,14,12,8
Jama na Šestanovu,10,15,1,22,"8,2",17
Jama s tri ulaza,7,12,1,"104,4",47,51
Jama Barišinka ,6,8,1,110,85,39
Jama Bijela,18,4,1,"63,7",18,"62,6"
Dvokraka,"5,8","4,9",1,"30,1",30,"7,6"
Suvaja,,,1,,,
Turnina,2,6,1,34,20,23
Jama u vali Grabri,"0,4","1,2",1,"51,5",20,44
Grozna,"0,8","0,5",1,24,13,14
Jamina Vazmineš,1,1,1,"30,7","23,3","13,4"
Kranjča špilja,"1,5","2,5",1,125,85,27
Tihova jama,6,1,1,,24,"32,4"
Galileova jama,"12,5","6,5",1,"97,7",15,95
Ivaničina pećina,"2,3","1,2",1,14,12,"1,8"
Jama na Šupljaku,"1,2","1,5",1,53,32,36
Jama s magarećom glavom,4,2,1,82,50,26
Šnajderova luknja,2,2,1,26,26,0
Prva poštena - Jama u Rastovcu,4,3,1,554,373,95
Jama na Roščici,"0,5","0,9",1,"9,5","5,5","4,5"
Jama na Bertiji 3,"0,5","1,5",1,"26,6","19,7","10,2"
Izvor Krnjeze,,,1,,,
Jama pod Velikim Knezgradom,5,"2,5",1,,7,36
Crvuljak,14,4,1,"41,5",30,15
Sovina jama,2,3,1,"40,7","24,6","27,1"
Ćulića,,,1,,,
Jama na Zaluki 2,8,6,1,,12,16
Colina jama,"2,5",4,2,27,13,12
pawmfpwa,,,1,,,
Jama na Gradini,12,"2,5",1,24,12,15
Cestarica,10,20,1,"46,8","24,8","34,4"
Fikserica,"5,3","2,7",1,60,"18,4","44,8"
Zapećka,"2,6","2,6",1,15,15,0
Antulina jama,"1,5",5,1,23,8,20
Mala jama,4,2,1,,11,17
Jama pod Tihovinje I,"0,5","0,5",1,5,2,5
Laserska jama,10,3,1,,83,92
Smrdljiva jama smrti,"3,4","3,4",1,37,6,35
Špilja kod Podilljske,1,"0,8",1,,7,"4,8"
Spilja u Kotlu,4,7,1,50,48,2
Špilja podno Samogreda,"3,3",2,1,,"17,5",4
Kaverna 1 na gradilištu multimedijalnog centra Matulji,"1,5","0,75",1,13,"4,5","10,5"
Dokozinka 1,5,8,1,121,52,79
Zbunjola,7,6,1,14,"11,5","7,5"
Finska sauna,3,"1,5",1,21,11,14
Jama kod Marić drage,2,4,1,35,20,15
Špilja na Pisanoj pečini,"4,5","1,5",1,,"7,8",1
Kopriva,1,2,1,"23,5","17,1","5,9"
Jama probijenog snijega,15,6,1,48,10,45
Golubinka iza Puplja,3,6,1,50,14,44
Jama na Brdu,"0,5","0,4",1,,7,6
Turski zatvor,1,2,1,47,46,13
Hajdučka peć,4,6,1,"32,7","29,2",0
"Velika peć, Bijelnik","4,5","1,8",1,8,8,0
Mini golf - Strguljin grad 8,6,4,1,,15,25
Jama kod željezničke postaje Javornik ,1,2,1,36,3,35
Vjetruša,5,4,1,61,36,34
Jama Bobovci (u Fabrisovoj kavi),4,8,1,"71,5",40,40
Jama 4banke,1,"1,5",1,,"12,3","42,8"
Špilja u Solinama,22,6,1,,47,18
Đukina jama,,,1,,,
Pupićina pećina,20,7,1,,32,2
Livadica,3,"2,5",1,"10,2","6,1",0
Pećina Široko,4,2,1,46,40,20
Pećinica u Glavi 1,"1,7","1,2",1,5,5,"0,2"
Ponor na Grginom bregu,"4,39","1,77",1,111,221,106
Spilja Vrelo pod Strašnim stranama,5,3,1,"45,3",42,6
Vaso's nest,8,11,1,,19,"25,5"
Girls hole,"0,8",3,1,"29,2","4,8",27
Makeljina jama,4,5,1,90,53,51
Jama u Bjelovljovim dragama,"4,5","3,2",1,25,16,12
Škulja jama,"0,5","0,9",1,"11,5","4,7","6,8"
Uprćenica,2,"1,7",1,"7,9","6,8","2,2"
Bunar jama u uvali Tribojci,"0,6","0,6",1,4,2,5
Vetrnica,2,3,1,31,"8,5",24
O njemu sam razmišljao,3,2,1,9,6,5
Jama u Maloj Bjeljevini,2,"1,2",1,"15,8","1,7","15,7"
Špilja Los Antonio,3,1,1,,58,15
Ivin bezdan,1,3,1,"56,5","17,5",47
Spilja kod izvora Točak,"2,5","2,4",1,,36,1
Smokvin škrip pod križem,5,3,1,"7,3","5,3",6
Živac,"1,3","3,5",1,"7,8","5,2","7,3"
Jama pod kamenom rijekom,"1,5",3,1,"47,8","37,5","13,3"
Snjeguljac,"31,5","19,6",1,99,"63,5","57,5"
Čajkuša,10,6,1,"22,5","15,5",16
Jama pod zavojem ,"2,2",2,1,,11,12
Nova ledenica,4,16,1,46,26,29
Jama kod Ratkovog skloništa,3,3,1,29,18,20
Jama kod bivka Dinaridi,1,1,1,"83,1","31,5",57
Bošak jama,"1,1","1,7",1,,11,17
Stara jama,1,"0,8",1,18,"7,4",15
Jama nad kavernom,1,"0,7",1,,3,14
Kukeljka,1,"0,8",1,"8,2","5,8",0
Špilja kod Slatnika,"4,6","2,9",1,9,"8,5","0,5"
Gajina pećina,4,5,1,37,34,7
Špilja iza lokve,2,"0,8",1,46,33,"4,5"
Jama u Špejarovim lugovima 3,8,4,1,59,42,31
Jama na sv. Juri - otkopana,1,1,1,120,48,72
Tecina jama,2,2,1,50,50,12
Donji ćorak,5,"1,5",1,9,4,7
Kifla,"5,5","1,5",1,10,7,7
Špilja iz 1990-te,"4,8","2,2",1,8,8,0
Ljubičica kod Handrake,6,3,1,,15,0
Špilja pod Sedlenim lukom,"2,6","1,3",1,5,5,0
Golubinka kod Ruminskih vrtli,10,5,1,176,72,91
Šobatovićeva jama,"0,5","0,5",1,7,5,2
Sopača,"1,5","0,5",1,,33,15
Rupine,,,1,20,20,"0,5"
Marinčova spilja,16,"1,5",1,115,113,0
Špilja pod Mačkovom dragom,2,1,1,376,362,26
Jama Bazgovac,"2,5","1,5",1,36,16,29
Pit Stop,"2,2","3,7",1,"6,4",6,"2,7"
Ledena trepetljika,,,1,,,
Upad,10,15,1,,179,67
Izvor špilja Jankovačkog potoka,3,2,1,,"6,5",0
Picos,1,1,1,"27,4","15,5","19,9"
Špilja ispod Jankotovog,"1,5",1,1,"18,5",15,"5,5"
Odisejeva špilja,"2,1","6,4",1,"29,6",21,16
Glonđara,"1,5",2,1,28,9,20
Suha špilja u Handrakama,5,"2,5",1,,23,0
jama na Mrtološkoj kosi,,,1,50,50,67
Špilja u Bukevju,"6,6","3,3",1,,10,0
Dreševa jama,"0,6","0,5",1,20,5,21
Dvogrla škovacara,5,10,1,34,24,15
Jama Leti,7,11,1,90,16,68
Javorica,2,3,1,25,11,15
Kišna jama na Svilaji,3,4,1,29,13,21
Medvjeđa jama,,,1,,,
Lovrićija 3,,,1,,,
Ukradeni 420,"12,7",5,1,"14,7","12,5","5,5"
Špilja pod kamenim mostom,1,"1,5",1,37,34,0
Jama kod platoa 4,1,"1,7",1,22,12,17
Golubinka pod Skejinim Umcom,"4,5","3,5",1,57,29,47
Duple jame,8,7,1,220,83,102
Izvor pećina Turkovići,7,5,1,,150,6
Pola sata,2,"1,5",1,,19,50
Pećina kod dječjeg oporavilišta,4,4,1,,28,31
Ruski rulet,"3,8","1,2",1,19,13,10
Jama iznad ceste,2,3,1,25,"2,2","24,5"
Sponzoruša,1,"0,5",1,28,10,24
Golubinka kod Viture,15,7,1,,70,177
Puhalica,9,"3,5",1,13,5,12
Pony kapitalac,1,"0,6",1,31,5,31
LU4EK,2,7,1,,"28,5","49,3"
Spila 2,"0,5","0,7",1,28,24,11
Pećina nad Klačenicom,3,"0,7",1,,8,2
Jama nad Školji 2,"0,6","0,5",1,11,3,"11,5"
Pećina na Mrežnici kraj mlina 2,10,2,1,,32,0
Rudnik zlata,1,"1,5",1,50,"6,2","46,4"
Špilja na Budimu,"0,5",1,1,,15,1
Gruda,"2,5","0,7",1,8,8,0
Vila ,1,1,1,,"10,8",20
Velimirova pećina,4,2,1,,10,4
Špilja pod dubom,3,"1,5",1,40,37,14
Mačkovac,2,"1,8",1,,6,16
Miškovka,8,10,1,131,73,"55,6"
Jama pod Grabovim ramenom,2,5,1,183,28,144
Staje 3,,,1,,,
Smeagulova špilja,3,4,1,14,10,10
Breskva,20,8,1,80,30,"43,4"
Špiljica,1,2,1,23,9,18
Mala špilja na Bukovcima,,,1,,,
Prvomajka,3,5,1,148,57,89
Pčelica Maja,"2,5","4,5",1,,"6,5",10
Kiša kamenja,4,2,1,34,13,30
Pužjak,"0,8","1,5",1,50,21,39
Jama frižider,2,"0,6",1,"46,6","32,3","18,8"
Jamica na Tuku,1,"0,6",1,7,5,4
Čajna,11,4,1,25,12,21
Jama na Bojušini 2,"1,5",1,1,30,7,28
Troroga,2,"3,5",1,"21,1","3,52","15,3"
Špilja pod Rudić brdom,3,"1,7",1,6,6,1
SK-20 (Jama pod okomitom smrekom),2,4,1,37,17,30
Špilja u uvali Lučica,9,8,1,44,43,5
Jama kod lugarnice na Mrzjaku,"0,5",1,1,,"2,5",7
Mala špilja kod Antunovića,,,1,,,
Pukotina nova,"0,6","2,5",1,"6,4","4,9","3,5"
Devetstokunka,3,2,1,7,5,5
Špilja Buta,,,1,41,41,0
Srednja Cerovačka špilja,,,1,,,
Misterij br. 5,"1,5","1,2",1,"8,3",6,6
Matića špilja,2,3,1,"17,5","14,5","7,5"
Trapula,"0,5","0,3",1,9,3,9
Vrsagovica,5,3,1,,10,21
Trbuhovica,,,1,,,
Jama u Krivodolu,5,3,1,105,68,53
Spasiteljica,"1,5",1,1,"13,6","13,6","1,2"
Dvaput je dvaput,11,13,2,76,42,25
Mrkobradog spilja,5,"1,5",1,,12,5
Bunar u Kraljevcu,1,"0,6",1,"10,5",2,"7,5"
Jama u Smojverskim dulibama,11,"1,8",1,27,14,19
Jama na Zborištima,10,9,1,,88,42
Slowmotion,2,2,1,"12,8","3,5",12
Jama nad Tajnu pećinu,"0,7","0,6",1,26,18,13
Belina jama,"0,7",1,1,14,7,"9,5"
Jama na Kosici 2,5,4,1,13,8,9
Promašena jama,"0,5",1,1,65,14,47
Lazu lu turku,,,1,,,
Jama Mačkovac,2,"2,5",1,,26,51
Jama ispod odlagališta Osojnica,"1,5","1,8",1,36,19,21
Lubo pred kišu,4,1,1,9,7,6
Jambrićeva špilja,3,"2,8",1,,58,11
Izvor Krčić,,,1,,,
Mala jama nad Bakovcem,3,2,1,15,13,12
Lokvina,,,1,,,
Špilja na Podinama,4,3,1,22,18,7
Špilja pod Tušom,"1,1","2,4",1,"5,8","5,7","0,5"
Pećak,"1,5",1,1,11,11,0
Šarića pećina donja,16,3,1,116,109,35
Jama kod Platka,"1,5",1,1,28,23,15
Surova spilja,12,10,1,410,357,70
Jama za Vratlom,1,1,1,66,40,29
Jama na Krasi,"2,2","2,2",1,22,9,20
Zlatna kopča,"0,5","0,8",1,"8,5","2,8","8,5"
Poskokova jama,1,"0,5",1,,20,19
Jama iznad gubavih kuća,"1,6","1,2",1,,3,"6,4"
Lindina jama,5,2,1,67,30,44
Velika Ćulumova pećina,4,3,1,254,250,6
Smrečna špilja,"0,7","0,7",1,,"12,5",1
Špajza pored Dekleove,4,2,1,,5,10
Račva,3,3,1,"16,3",8,"10,4"
Bajićeva špilja 6,1,"1,1",1,,13,"0,5"
Golubnjača,15,8,1,,436,35
Neisplativa,2,1,1,10,8,6
Ivina jama,"0,6","2,5",1,,150,62
Vučja jama,"0,6","1,8",1,30,20,17
Korzenna,"1,2","2,2",1,"79,9","15,2","69,9"
Špilja na ponti Gaja,"2,5","2,5",1,,18,1
Nema dalje,1,"0,5",1,22,3,22
Mala vjetrenica Debeli krug,"1,2","1,8",1,5,5,1
Medo,2,"1,5",1,,"34,21","86,3"
Jama pokraj staze,7,"2,5",1,,10,12
Palovica,1,"0,4",1,,20,52
Zorinka,5,12,1,154,95,44
Jama više Hrstića stana,"0,9","0,5",1,"28,5","9,5",23
Malopećinska špilja,"2,5","1,5",1,"5,4",3,0
Jama pod Bojinim kukom,,,1,,,
Pećina Beč na Gredi,2,5,1,7,6,0
Matiškina jama,3,4,1,233,"96,6",147
Kaverna na Latešo brdu,1,1,1,,15,13
Jama uz blatni put,"0,9","0,6",1,,"4,5",29
Jama na Srnečaku,4,"1,5",1,22,12,12
Ključanica,"0,7","0,5",1,21,4,19
Špilj u harmonici,22,2,1,24,23,7
Za nalož spilja,5,"1,5",1,,8,0
Penđaruša,4,3,1,34,31,10
Četvrtinka,"7,5",5,1,26,18,15
Jama iznad vodospreme,"0,8","0,5",1,17,8,"10,5"
Štojsova jazavčarka,"0,5","0,3",1,"7,4",7,1
05-1050,12,7,1,"79,8","29,5",42
Preko volje,14,5,1,39,32,10
Tetićev porat,"12,5",10,1,81,80,5
Maslačak,"2,5",1,1,12,"2,5",12
Like a rolling stone,4,2,1,142,64,87
Ermitage,1,1,1,"5,1","4,3",0
Supurina,1,4,1,,12,23
Nosin te z dušun,"0,5","0,5",1,24,12,17
Mali Kusoček,8,4,1,,10,"22,8"
Staje 10,,,1,,,
Ričina,5,7,1,347,314,34
Šušpilja,1,1,1,10,10,4
Jama kod Hrasta,2,1,1,,41,7
Špilja pod Šupljajom,2,3,1,12,12,5
Spilja kod Srema,5,3,1,,61,9
Golubinka na otoku Sv. Petar,"4,2","2,7",1,"26,2","26,2","2,5"
Nova Nikolićeva,"4,6",3,1,22,"21,8",0
Ne idi dalje,4,2,1,,27,11
Parnica,5,"2,5",1,51,37,20
Smotana,"3,7","2,8",1,10,10,2
Zubata,12,15,1,"16,9",6,"14,8"
Jama u malim Sapcima 2,"0,7",1,1,,4,41
Špilja ispod Tavice,2,"1,3",1,11,11,"1,7"
Skavnice Orihi,3,"2,5",1,,11,14
Bezdana jama,4,3,1,,14,6
Jama s vodom kraj sela Luka,4,4,1,"42,9",11,"34,2"
Pećina na Rucovici,"2,5","3,8",1,"13,2","9,6","7,3"
Ivča,,,1,,,
Feratka,"0,4","0,3",1,"8,3","5,5","5,2"
Žani sine,"0,4","1,2",1,"43,6","27,4",21
Koludrica,"8,5","7,5",1,18,16,8
Tomasova spilja,8,2,1,,41,3
Voska luknja,"0,5","0,5",1,"40,7",25,22
Kroz 3 drva,"2,5","1,5",1,27,6,18
Idemo ća,2,3,1,"14,4",5,"12,4"
Ljubavna jama,"0,4","1,5",1,"135,7","70,8",86
Momčilovića špilja,2,"1,5",1,"8,2",8,0
Flak 88,18,8,1,121,"58,5",80
"Vanja,Vanjice",2,4,1,,19,28
Golubinka na putu za Mišljen,4,5,1,"50,3","22,6",32
Macaklinska špilja pod Uminom,2,"1,2",1,19,18,4
37 Kneževac,"4,3","6,7",1,"16,5",6,"11,5"
Kardar,"7,6","4,1",1,47,31,21
Bila lipotica,25,5,1,120,84,30
Izgubljena jama,,,1,12,,12
Jama S-2,2,3,1,7,5,5
Jama na Borovoj kosi,"1,2","1,5",1,,6,13
Ledena jama na Lepušju,15,5,1,123,63,59
Mićoletova jama,"1,2","1,6",1,23,3,20
Dva ipo sata,3,6,1,36,"20,1",15
Vjeko,"1,7","1,7",1,"18,6",11,"13,54"
Ponikve 1,8,5,1,,212,162
Gollum,"4,5","5,5",1,,"6,2","22,9"
Rupača,20,20,1,50,40,24
Jama malog ulaza,"0,5","0,6",1,"40,4","3,8","36,6"
Franića pećina,"1,5","2,5",1,14,"13,5",4
Jama na Brgucima,2,"1,8",1,56,22,15
Pod Gredom,4,3,1,,34,0
Bunar,,,1,,,
Cimerjanka,2,"1,5",1,,"10,5",16
Zelena jama ,2,5,1,,23,"19,5"
Špilja Sveti Rokić,"1,5","1,5",1,10,9,0
Momkova jama,1,1,1,32,7,32
Vriština,5,3,1,48,36,28
Sabotaža,1,"0,5",1,8,4,"5,5"
Jama na Mratinu,"1,15",1,1,"11,5",7,"8,5"
Kletva,"1,9","0,5",1,12,12,"0,2"
Majama,"0,5",1,1,11,4,9
Jama na Bilu,1,"0,5",1,,"14,7","11,5"
Pećina Motika,1,"0,8",1,,6,2
Coleova bezjama,,,1,,,
Gravrnjača,,,1,,,
Miškopiš,5,"1,6",1,"13,5","8,5","0,7"
PT 9,7,11,1,74,27,48
Golubinka pod Grabovom grudom,12,3,1,131,84,45
Pićanova jama ,1,1,1,160,44,125
Čekajući Tahija,1,3,1,"14,7","11,5","5,5"
Jama za paljenje smeća u Vukičevićima,"1,5","1,5",1,5,5,4
Snježnica u Medvjeđoj dolini,4,13,1,40,35,19
Japa špilja,1,3,1,,8,4
Jama Ukr 1,12,8,1,,8,35
Tamnica,"1,5","1,5",1,8,5,5
Primordijalni strah,1,5,1,102,61,51
Veliko ništa,2,2,1,21,14,11
Kaverna Škurinje 23042022,"0,8","0,4",1,"8,4","4,4","5,2"
Jama u Bukovju,3,2,1,54,52,5
Brezova jama,6,2,1,,9,"47,3"
Golubinka kod 9. vjetrenjače,"1,8","2,8",1,16,15,10
Pećina na Vuletincu,"0,7","0,5",1,44,44,6
Špilja nad Oblim kamom,"1,5",1,1,30,30,0
Kosturko,"1,7","7,5",1,14,13,5
Ideš Đurđa,15,16,1,"121,7",16,114
Ulat,"1,5",10,1,19,"10,5",19
Jama Ljepotica i Zvijer,10,10,1,"186,5",133,58
Žlota,,,1,,,
Gori ussi,15,5,1,94,62,45
Bracina jama,2,5,1,311,,154
Jama Gluhe drage 2,"0,9","0,8",1,23,10,12
Detljić,2,6,1,25,"17,6","15,9"
Anžička,1,1,1,19,18,8
Ledenica pod Pećinskim vrhom,10,3,1,140,117,"51,6"
Jama kraj Točka,9,6,1,"28,3","8,5","24,7"
Pećinica u Glavi 2,"0,7","0,5",1,5,5,"0,6"
Jazbina,"4,5","7,5",1,"64,4",20,52
Pećina na Brgudcima,"1,5",1,1,11,11,7
Špilja u uvali Brestova,"1,5","1,1",1,13,"10,3","7,8"
Jama SKH,3,"3,5",1,,12,27
Mađaronova hižica,"1,3","0,8",1,"6,6","5,9",0
Mujina pećina,,,1,,,
Kaverna Škurinje 131122,2,1,1,"7,7","6,5","5,8"
Josipova jama,"1,5",4,1,42,40,6
Krušljivka,2,5,1,,"33,5",92
Belline nozdrve,5,"0,5",1,9,8,0
Plava buba,16,3,1,38,11,27
Kriva procjena,2,4,1,117,37,"95,5"
Špilja niš na Vlahovom bregu,"2,5","1,5",1,,42,"10,6"
Sapunjara,2,1,1,,8,9
Jedna jama,1,1,1,63,24,52
Jama među cestama,"9,1","17,1",1,"109,6","18,5",75
Jama na Suvopolju,1,"0,5",1,22,7,20
Čorkaća,"2,3","3,6",1,18,"8,5",5
Segmentalna jama,"2,9","1,8",1,8,7,"5,7"
Jama 42 ,3,"2,5",1,13,3,13
Tandaraća,3,2,1,46,"39,5",8
Dočina špilja ,"3,8",2,1,,31,9
Jama u Lokvicama,6,5,1,33,24,19
Špilja u Skradinskom buku,4,3,1,24,24,10
Veseli poštar,1,"2,5",1,55,16,40
Špilja u uvali Strižnja,1,"1,2",1,"7,5",4,6
Jama na Valdelari,"0,5","0,8",1,10,4,9
Gornja Baraćeva,3,"3,35",1,520,470,32
Jama na Vršičaku,"0,8","0,6",1,141,101,39
Jama u Šarinoj dragi,3,4,1,29,27,8
Kamenica 7,17,5,1,,60,0
Nova Pepelarica,"0,5","0,3",1,,8,7
Radota,,,1,,,
Stara škola,"2,5",4,1,966,469,497
Stevina pećina,"0,9","0,9",1,"8,5","8,5","1,8"
Zvonečka II,"1,8","0,8",1,,81,61
Likovna akademija,5,"1,7",1,,8,18
Ivina jama podno Njiva,,,1,9,9,19
Matežnovac,2,13,1,114,17,98
Jama Grdi dolci,5,2,1,,11,37
Klada jama,"0,8","2,5",1,"12,5","6,5","7,3"
Desna jama u Poljanku,1,"0,8",1,"20,8",7,16
Paredine 2,"1,2","4,8",1,21,17,10
Špilja pod skalinama,6,6,1,23,23,0
Dišeća jama pod Kamenjakom,1,"1,5",1,40,18,25
TDI,1,"3,5",1,"6,5","2,8","6,5"
Jedva špilja,1,"0,3",1,7,"6,9","0,4"
Jamica na Kralićevim dvorima,"0,3","0,5",1,9,6,"6,5"
Mala jamica,1,"0,5",1,"10,5",8,"7,2"
Jama zasigane kosti,"1,6","0,6",1,"26,9","14,1","17,9"
Ledena siga,1,1,1,,20,26
Špilja nad Ručicom,"0,5","1,5",1,11,10,"1,4"
Kaverna 1 ZTC,"1,5","1,2",1,25,5,18
Billova ponikva,,,1,,,
Jama I.K.S.,32,15,1,,48,38
Muzejska jama,,,1,"32,8","20,5","9,7"
Vrebčeva pećina,10,12,1,44,40,18
Plošnica,2,2,1,,"12,5",91
Pećina Zaklon ,"2,5","3,5",1,,"6,5","3,5"
Karijes,"0,5","0,9",1,14,10,0
Jama Bliznice 1 kod Semića,5,"2,5",1,,27,73
Kapelica pored puta,3,"1,8",1,,68,9
Kuna špilja,"1,7","0,9",1,44,28,3
Obajdinov đot,25,20,1,275,165,115
Jama pod Jelenskim vrhom 2,5,3,1,26,15,20
Zubanova jama,4,5,1,"208,6","145,5",88
Sveta spilja,6,"2,5",1,55,35,3
HD3,5,5,1,,13,32
Nova Grgosova špilja,,,1,,,
Jama 112,4,"1,8",1,"34,4","22,2",21
Đuderina jama,,,1,,,
Poli Jame,"4,5",8,1,107,18,91
